,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7601,A,B,-,A,A,B,-,A,-,-,B,-,B,-,A,-,A,-,B,B,-,-,-,A,-,-,-,-,A,A,B,B,-,-,A,-,-,B,A,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,A,-,A,A,B,-,A,B,-,B,-,-,A,A,-,-,B,B,-,A,A,-,A,-,A,-,B,-,-,-,B,B,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,B,-,A,-,-,-,B,B,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,B,-,-,B,-,-,A,A,-,B,A,-,-,-,-,A,A,A,-,-,-,A,-,B,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,B,-,-,-,-,-,-,A,-,-,B,-,B,-,B,-,-,-,A,-,-,-,-,-,A,-,-,-,-,A,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,A,-,A,-,-,-
A7615,A,B,-,A,A,B,-,A,-,-,B,-,B,-,A,-,A,-,B,B,-,-,-,A,-,-,-,-,A,A,B,B,-,-,A,-,-,B,A,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,A,-,A,A,B,-,A,B,-,B,-,-,A,A,-,-,B,B,-,A,A,-,A,-,A,-,B,-,-,-,B,B,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,-,-,A,-,-,-,B,B,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,B,-,-,B,-,-,A,A,-,B,A,-,-,-,-,A,A,A,-,-,-,A,-,B,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,B,-,-,-,-,-,-,A,-,-,B,-,B,-,B,-,-,-,A,-,-,-,-,-,A,-,-,-,-,A,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,A,-,A,-,-,-
A7614,A,B,-,A,A,B,-,A,-,-,B,-,B,-,A,-,A,-,B,B,-,-,-,A,-,-,-,-,A,A,B,B,-,-,A,-,-,B,A,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,A,-,A,A,B,-,A,B,-,B,-,-,A,A,-,-,B,B,-,A,A,-,A,-,A,-,B,-,-,-,B,B,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,-,-,A,-,-,-,B,B,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,B,-,-,B,-,-,A,A,-,B,A,-,-,-,-,A,A,A,-,-,-,A,-,B,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,B,-,-,-,-,-,-,A,-,-,B,-,B,-,B,-,-,-,A,-,-,-,-,-,A,-,-,-,-,A,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,A,-,A,-,-,-
A7603,A,B,-,A,A,B,-,A,-,-,B,-,B,-,A,-,A,-,B,B,-,-,-,A,-,-,-,-,A,A,B,B,-,-,A,-,-,B,A,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,A,-,A,A,B,-,A,B,-,B,-,-,A,A,-,-,B,B,-,A,A,-,A,-,A,-,B,-,-,-,B,B,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,-,-,A,-,-,-,B,B,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,B,-,-,B,-,-,A,A,-,B,A,-,-,-,-,A,A,A,-,-,-,A,-,B,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,B,-,-,-,-,-,-,A,-,-,B,-,B,-,B,-,-,-,A,-,-,-,-,-,A,-,-,-,-,A,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,A,-,A,-,-,-
A7619,A,B,-,A,A,B,-,A,-,-,B,-,B,-,A,-,A,-,B,B,-,-,-,A,-,-,-,-,A,A,B,B,-,-,A,-,-,B,A,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,A,-,A,A,B,-,A,B,-,B,-,-,A,A,-,-,B,B,-,A,A,-,A,-,A,-,B,-,-,-,B,B,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,-,-,A,-,-,-,B,B,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,B,-,-,B,-,-,A,A,-,B,A,-,-,-,-,A,A,A,-,-,-,A,-,B,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,B,-,-,-,-,-,-,A,-,-,B,-,B,-,B,-,-,-,A,-,-,-,-,-,A,-,-,-,-,A,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,B,-,A,-,-,A,-,A,-,-,-
A446,A,B,-,A,A,B,-,B,-,-,B,-,B,-,A,-,A,-,B,B,-,-,-,B,-,-,-,-,B,A,B,B,-,-,A,-,-,B,A,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,A,-,A,A,B,-,A,B,-,A,-,-,A,A,-,-,B,B,-,A,A,-,A,-,A,-,B,-,-,-,B,B,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,B,-,A,-,-,-,B,A,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,B,-,-,B,-,-,A,A,-,B,A,-,-,-,-,B,A,A,-,-,-,A,-,B,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,B,-,-,-,-,-,-,A,-,-,B,-,B,-,A,-,-,-,B,-,-,-,-,-,A,-,-,-,-,A,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,B,-,A,-,-,A,-,A,-,-,-
A2518,A,B,-,A,A,B,-,B,-,-,B,-,B,-,A,-,A,-,B,B,-,-,-,B,-,-,-,-,B,A,B,B,-,-,A,-,-,B,A,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,A,-,A,A,B,-,A,B,-,A,-,-,A,A,-,-,B,B,-,A,A,-,A,-,A,-,B,-,-,-,B,B,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,-,-,A,-,-,-,B,A,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,-,-,-,B,-,-,A,A,-,B,A,-,-,-,-,B,A,A,-,-,-,A,-,B,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,B,-,-,-,-,-,-,A,-,-,B,-,B,-,A,-,-,-,B,-,-,-,-,-,A,-,-,-,-,A,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,A,-,A,-,-,-
A448,A,B,-,A,A,B,-,B,-,-,B,-,B,-,A,-,A,-,B,B,-,-,-,B,-,-,-,-,B,A,B,B,-,-,A,-,-,B,A,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,A,-,A,A,B,-,A,B,-,A,-,-,A,A,-,-,B,B,-,A,A,-,A,-,A,-,B,-,-,-,-,B,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,A,-,A,-,-,-,B,A,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,-,-,-,B,-,-,A,A,-,B,A,-,-,-,-,B,A,A,-,-,-,A,-,B,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,B,-,-,-,-,-,-,A,-,-,B,-,B,-,A,-,-,-,B,-,-,-,-,-,A,-,-,-,-,A,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,B,-,B,-,-,A,-,A,-,-,-
A451,A,B,-,A,A,B,-,B,-,-,B,-,B,-,A,-,A,-,B,B,-,-,-,B,-,-,-,-,B,A,B,B,-,-,A,-,-,B,A,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,A,-,A,A,B,-,A,B,-,A,-,-,A,A,-,-,B,B,-,A,A,-,A,-,A,-,B,-,-,-,-,B,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,A,-,A,-,-,-,B,A,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,B,-,-,B,-,-,A,A,-,B,A,-,-,-,-,B,A,A,-,-,-,A,-,B,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,B,-,-,-,-,-,-,A,-,-,B,-,B,-,A,-,-,-,B,-,-,-,-,-,A,-,-,-,-,A,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,B,-,-,-,-,A,-,A,-,-,-
A452,A,B,-,A,A,B,-,B,-,-,B,-,B,-,A,-,A,-,B,B,-,-,-,B,-,-,-,-,B,A,B,B,-,-,A,-,-,B,A,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,A,-,A,-,B,-,A,B,-,A,-,-,A,A,-,-,B,B,-,A,A,-,A,-,A,-,B,-,-,-,-,B,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,A,-,A,-,-,-,B,A,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,B,-,-,B,-,-,A,A,-,B,A,-,-,-,-,B,A,A,-,-,-,A,-,B,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,B,-,-,-,-,-,-,A,-,-,B,-,B,-,A,-,-,-,B,-,-,-,-,-,A,-,-,-,-,A,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,B,-,A,-,-,A,-,A,-,-,-
A449,A,B,-,A,A,B,-,B,-,-,B,-,B,-,A,-,A,-,B,B,-,-,-,B,-,-,-,-,B,A,B,B,-,-,A,-,-,B,A,-,-,B,A,A,-,A,B,-,B,-,A,B,-,B,B,-,-,-,A,-,A,A,B,-,A,B,-,A,-,-,A,A,-,-,B,B,-,A,A,-,A,-,A,-,B,-,-,-,B,B,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,A,-,A,-,-,-,B,A,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,B,-,-,B,-,-,A,A,-,B,A,-,-,-,-,B,A,A,-,-,-,A,-,B,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,B,-,-,-,-,-,-,A,-,-,B,-,B,-,A,-,-,-,B,-,-,-,-,-,A,-,-,-,-,A,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,B,-,A,-,-,A,-,A,-,-,-
A447,A,B,-,A,A,B,-,B,-,-,B,-,B,-,-,-,A,-,B,B,-,-,-,B,-,-,-,-,B,A,B,B,-,-,A,-,-,B,A,-,-,B,A,A,-,A,B,-,B,-,A,B,-,A,B,-,-,-,A,-,A,A,B,-,A,B,-,A,-,-,A,-,-,-,B,B,-,A,A,-,A,-,A,-,B,-,-,-,B,B,-,B,-,-,-,B,-,-,-,B,-,-,A,-,-,-,A,-,A,-,A,-,-,-,B,A,-,A,-,A,-,-,B,-,-,B,-,A,-,-,-,-,-,-,-,-,B,-,B,-,B,-,-,B,-,-,A,A,-,B,A,-,-,-,-,B,A,A,-,-,-,A,-,B,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,B,B,-,-,-,-,-,-,A,-,-,B,-,B,-,A,-,-,-,B,-,-,-,-,-,A,-,-,-,-,A,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,B,B,-,A,-,-,A,-,A,-,-,-
A445,A,B,-,A,A,B,-,B,-,-,-,-,B,-,-,-,A,-,B,-,-,-,-,B,-,-,-,-,B,A,-,B,-,-,A,-,-,B,-,-,-,B,A,A,-,A,B,-,B,-,A,-,-,-,B,-,-,-,A,-,-,A,-,-,A,B,-,A,-,-,A,A,-,-,B,B,-,A,A,-,-,-,A,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,B,-,-,A,-,-,-,-,-,-,-,A,-,-,-,-,A,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,A,A,-,B,A,-,-,-,-,B,A,-,-,-,-,A,-,B,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,B,-,B,-,-,-,-,-,B,-,-,-,-,-,A,-,-,-,-,-,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,A,-,-,-
A444,A,B,-,A,A,B,-,B,-,-,-,-,B,-,A,-,A,-,B,-,-,-,-,B,-,-,-,-,B,A,-,B,-,-,-,-,-,B,-,-,-,B,A,-,-,A,B,-,B,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,B,B,-,-,A,-,A,-,A,-,B,-,-,-,B,B,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,B,-,-,-,A,-,-,-,-,A,-,-,-,A,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,B,-,-,-,-,-,B,-,-,-,-,-,A,-,B,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,B,-,-,-,-,-,-,A,-,-,B,-,B,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,A,-,-,-,A,B,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-
A4546,A,B,-,-,-,B,-,A,-,-,A,-,B,-,A,-,A,-,B,-,-,-,-,-,-,-,-,-,B,A,B,-,-,-,B,-,-,B,B,-,-,-,A,A,-,-,-,-,B,-,B,A,-,-,B,-,-,-,B,-,A,-,B,-,B,B,-,B,-,-,B,B,-,-,B,-,-,B,A,-,-,-,-,-,B,-,-,-,B,B,-,B,-,-,-,A,-,-,-,-,-,-,B,-,-,-,-,-,A,-,B,-,-,-,-,A,-,A,-,A,-,-,B,-,-,B,-,B,-,-,-,-,-,-,-,-,-,-,A,-,B,-,-,-,-,-,-,B,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,B,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,A,-,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,A,-,-,-,-,-
AA374 lg 6 +=Delta,A,B,-,B,A,-,-,A,-,-,B,-,B,-,A,-,B,-,A,A,-,-,-,B,-,-,-,-,B,A,B,A,-,-,B,-,-,A,A,-,-,B,A,A,-,A,A,-,A,-,A,B,-,B,A,-,-,-,B,-,B,B,A,-,B,A,-,B,-,-,B,B,-,-,B,B,-,A,B,-,B,-,B,-,A,-,-,-,B,A,-,B,-,-,-,B,-,-,-,A,-,-,B,-,-,-,A,-,A,-,B,-,-,-,B,A,-,A,-,A,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,B,-,-,-,A,-,-,A,-,-,A,A,-,A,B,-,-,-,-,A,A,B,-,-,-,B,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,B,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,B,-,-,-,-,-,A,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,A,-,-,-
AA224 lg 6 -=A (37/82 with LG3),A,B,-,B,A,B,-,A,-,-,B,-,B,-,B,-,B,-,A,A,-,-,-,B,-,-,-,-,B,A,B,A,-,-,B,-,-,A,A,-,-,B,A,A,-,A,A,-,A,-,A,B,-,B,B,-,-,-,B,-,B,B,A,-,B,A,-,B,-,-,B,B,-,-,B,B,-,A,B,-,B,-,B,-,A,-,-,-,B,A,-,B,-,-,-,B,-,-,-,A,-,-,B,-,-,-,A,-,A,-,B,-,-,-,B,B,-,A,-,A,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,A,A,-,A,A,-,-,-,-,A,A,B,-,-,-,B,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,B,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,B,-,A,-,-,-
A7224,A,B,-,B,A,B,-,A,-,-,B,-,B,-,B,-,B,-,A,A,-,-,-,B,-,-,-,-,B,A,B,A,-,-,B,-,-,A,A,-,-,-,A,B,-,A,A,-,A,-,A,B,-,B,B,-,-,-,B,-,-,B,B,-,B,A,-,-,-,-,B,B,-,-,B,B,-,A,B,-,B,-,B,-,A,-,-,-,-,A,-,B,-,-,-,B,-,-,-,A,-,-,B,-,-,-,A,-,A,-,B,-,-,-,B,A,-,A,-,A,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,A,A,-,A,A,-,-,-,-,A,A,B,-,-,-,B,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,B,A,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,B,-,B,-,-,-
A7223,A,B,-,B,A,B,-,A,-,-,B,-,B,-,B,-,B,-,A,A,-,-,-,B,-,-,-,-,B,A,B,A,-,-,B,-,-,A,A,-,-,B,A,B,-,A,A,-,A,-,A,B,-,B,B,-,-,-,B,-,B,B,B,-,B,A,-,B,-,-,B,B,-,-,B,-,-,A,B,-,B,-,B,-,A,-,-,-,B,A,-,B,-,-,-,B,-,-,-,A,-,-,B,-,-,-,A,-,A,-,B,-,-,-,B,A,-,A,-,A,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,A,A,-,-,A,-,-,-,-,A,A,B,-,-,-,B,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,A,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,B,-,B,-,-,-
A1580,A,B,-,B,A,A,-,A,-,-,B,-,B,-,B,-,B,-,A,A,-,-,-,B,-,-,-,-,B,A,B,A,-,-,B,-,-,A,A,-,-,B,A,B,-,A,A,-,B,-,A,B,-,B,B,-,-,-,B,-,B,B,B,-,B,A,-,B,-,-,B,B,-,-,B,B,-,A,B,-,B,-,B,-,A,-,-,-,B,A,-,B,-,-,-,B,-,-,-,A,-,-,B,-,-,-,A,-,A,-,B,-,-,-,B,A,-,A,-,A,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,A,A,-,A,A,-,-,-,-,A,A,B,-,-,-,B,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,A,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,B,-,B,-,-,-
A5439,A,B,-,B,A,A,-,A,-,-,B,-,B,-,B,-,B,-,A,A,-,-,-,B,-,-,-,-,B,A,B,A,-,-,B,-,-,A,A,-,-,A,A,B,-,A,A,-,B,-,A,B,-,B,B,-,-,-,B,-,B,B,B,-,B,A,-,B,-,-,B,B,-,-,B,B,-,A,B,-,B,-,B,-,A,-,-,-,B,A,-,B,-,-,-,B,-,-,-,A,-,-,B,-,-,-,B,-,A,-,B,-,-,-,B,A,-,A,-,A,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,B,-,B,-,A,-,-,A,-,-,A,A,-,A,A,-,-,-,-,A,A,B,-,-,-,B,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,A,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,B,-,B,-,-,-
A5420,A,B,-,B,B,A,-,A,-,-,B,-,B,-,B,-,B,-,A,B,-,-,-,B,-,-,-,-,B,A,B,A,-,-,A,-,-,A,A,-,-,A,A,B,-,B,B,-,B,-,A,A,-,A,B,-,-,-,B,-,B,B,B,-,A,A,-,B,-,-,B,B,-,-,B,B,-,A,A,-,B,-,B,-,A,-,-,-,B,B,-,B,-,-,-,B,-,-,-,A,-,-,B,-,-,-,B,-,A,-,B,-,-,-,B,A,-,B,-,B,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,B,-,A,-,B,-,-,A,-,-,A,A,-,A,A,-,-,-,-,A,B,B,-,-,-,B,-,A,-,-,-,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,A,-,-,-,-,-,-,B,-,-,A,-,B,-,B,-,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,B,-,B,-,-,-
A7133,A,B,-,B,B,A,-,A,-,-,B,-,B,-,B,-,B,-,A,B,-,-,-,B,-,-,-,-,B,A,B,A,-,-,B,-,-,A,A,-,-,A,A,B,-,B,A,-,B,-,A,A,-,A,B,-,-,-,B,-,B,B,B,-,A,A,-,B,-,-,B,B,-,-,B,B,-,A,A,-,B,-,B,-,B,-,-,-,B,B,-,B,-,-,-,B,-,-,-,A,-,-,B,-,-,-,B,-,B,-,B,-,-,-,B,A,-,B,-,B,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,B,-,A,-,B,-,-,A,-,-,A,A,-,A,A,-,-,-,-,A,B,B,-,-,-,B,-,A,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,A,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,-,-,-,-,-,-,B,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,B,-,B,-,-,-
A7134,A,B,-,B,B,A,-,A,-,-,B,-,B,-,B,-,B,-,A,-,-,-,-,B,-,-,-,-,B,A,B,A,-,-,B,-,-,A,A,-,-,A,A,B,-,B,A,-,B,-,A,A,-,A,B,-,-,-,B,-,B,B,B,-,A,A,-,B,-,-,B,B,-,-,B,B,-,A,A,-,B,-,B,-,B,-,-,-,B,B,-,B,-,-,-,B,-,-,-,A,-,-,B,-,-,-,B,-,B,-,B,-,-,-,B,A,-,B,-,B,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,B,-,A,-,B,-,-,A,-,-,A,A,-,A,A,-,-,-,-,A,B,B,-,-,-,B,-,A,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,A,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,B,-,B,-,-,-
A7132,A,B,-,B,B,A,-,A,-,-,B,-,B,-,B,-,B,-,A,B,-,-,-,B,-,-,-,-,B,A,B,A,-,-,B,-,-,A,B,-,-,A,A,B,-,B,A,-,B,-,A,A,-,A,B,-,-,-,B,-,B,B,B,-,A,A,-,B,-,-,B,B,-,-,B,B,-,A,A,-,B,-,B,-,B,-,-,-,B,B,-,B,-,-,-,B,-,-,-,A,-,-,B,-,-,-,B,-,B,-,B,-,-,-,B,A,-,B,-,B,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,B,-,A,-,B,-,-,A,-,-,A,A,-,A,A,-,-,-,-,A,B,B,-,-,-,B,-,A,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,A,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,B,-,B,-,-,-
A7131,A,B,-,B,B,A,-,A,-,-,B,-,B,-,B,-,B,-,A,B,-,-,-,B,-,-,-,-,B,A,B,A,-,-,B,-,-,A,A,-,-,A,A,B,-,B,A,-,B,-,A,A,-,A,B,-,-,-,B,-,B,B,B,-,A,A,-,B,-,-,B,B,-,-,B,B,-,A,A,-,B,-,B,-,B,-,-,-,B,B,-,B,-,-,-,B,-,-,-,A,-,-,B,-,-,-,B,-,B,-,B,-,-,-,B,A,-,B,-,B,-,-,B,-,-,A,-,A,-,-,-,-,-,-,-,-,B,-,A,-,B,-,-,A,-,-,A,A,-,A,A,-,-,-,-,A,B,B,-,-,-,B,-,A,-,-,-,-,B,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,A,A,-,-,-,-,-,-,B,-,-,A,-,B,-,A,-,-,-,B,-,-,-,-,-,B,-,-,-,-,B,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,A,A,-,A,-,-,B,-,B,-,-,-
